"","Identify workshops speakers and topics or another design - MIRO?","Identify the right stakeholders to be engaged (including industry, academic, government, etc.)","Develop a stakeholder map covering all sectors","A clear purpose","data on aquaculture species response to climate change","information on options/tools and adaptations to improve aquaculture production under cc","data on environmental conditions at aquaculture farms and how they will change","summary information on biological response of each organism with habitat spatial planning","Should already have/maybe this can build good relationship with industry, policy makers, scientists, regulators","Ensure proper communication mechanisms, formats, material, purpose","Inventory/gap analysis to collate industry concerns, management considerations, and research capabilities","Workshops","Get managers out to farms","Conferences","Roadshows","Site visits","Relationships","Engagement with stakeholders","Realistic opportunities for reducing CO2 emission from aquaculture","Look for supporting funders to assist to climate friendly adaptations","genetic selection for adaptation","support multitrophic aquaculture of seaweed with bivalve aquaculture","study appropriateness of current species and id potential new species","identify gaps in information needed by industry/support","Collaborative working including comms","Develop industry understanding to aid future business decisions","Increase decision-makers awareness of need for adaption","identify current and projected challenges","Improve planning for emergency responses","Improve tools for fisheries/aquaculture management including ecological forecasts, climate informed assessments and targets, long term projections","Increase public awareness of need for adaption"
"Identify workshops speakers and topics or another design - MIRO?","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Identify the right stakeholders to be engaged (including industry, academic, government, etc.)","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Develop a stakeholder map covering all sectors","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A clear purpose","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","",""
"data on aquaculture species response to climate change","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"information on options/tools and adaptations to improve aquaculture production under cc","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"data on environmental conditions at aquaculture farms and how they will change","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"summary information on biological response of each organism with habitat spatial planning","","0.25","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Should already have/maybe this can build good relationship with industry, policy makers, scientists, regulators","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"Ensure proper communication mechanisms, formats, material, purpose","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Inventory/gap analysis to collate industry concerns, management considerations, and research capabilities","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Workshops","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Get managers out to farms","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Conferences","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Roadshows","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Site visits","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Relationships","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",""
"Engagement with stakeholders","","","","","","","","","","","","","","","","","","","1","1","1","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Realistic opportunities for reducing CO2 emission from aquaculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Look for supporting funders to assist to climate friendly adaptations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"genetic selection for adaptation","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"support multitrophic aquaculture of seaweed with bivalve aquaculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"study appropriateness of current species and id potential new species","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"identify gaps in information needed by industry/support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Collaborative working including comms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Develop industry understanding to aid future business decisions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase decision-makers awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"identify current and projected challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve planning for emergency responses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Improve tools for fisheries/aquaculture management including ecological forecasts, climate informed assessments and targets, long term projections","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase public awareness of need for adaption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
