"","category"
"1","Catastrophic effects (i.e. death) on cultured species"
"2"," habitat area suitable for aquaculture"
"3","ability to access facility (days per year)"
"4","availability of terrestrial ingredients for fish feeds"
"5","frequency of damage to equipment/facilities "
"6","location of shore based processing facilities, docks, distribution centers"
"7","range of non-target species which impact aquaculture such as marine mammals, predators, protected species etc."
"8","seafood quality post harvest"
"9","seafood quality pre harvest"
"10","target culture species range expansion/contraction"
"11","terrestrial crop production and impact on demand for aquaculture as food source"
"12","the amount or toxicity of pollutants released into water/air."
"13"," assimilation of fish waste"
"14"," reproduction and growth"
"15","availability of natural feed for filter feeders (phytoplankton)"
"16","availability of ocean based feed ingredients (fish meal, fish oil) "
"17","Dissolved Oxygen levels"
"18","distribution of broodstock and spawner timing"
"19","distribution of wild broodstock"
"20","growth"
"21","nutrient availability for seaweed (N, P, K)"
"22","pathogen and parasite presence "
"23","pathogen/disease dynamics"
"24","spawning timing"
"25","sublethal effects other than growth or disease susceptibility"
"26","survival"
"27","susceptibility to disease"
"28","water chemistry/turbidity/salinity (e.g. from erosion/flooding) "
"29","water quality dynamics"
"30","wild seed production/juvenile availability "
"31","normal phytoplankton bloom timing/location "
